,,,,,,,,,,
Key: Market,Key: Index (Market Area + Budget),Make and Model,Average Annual Earnings Rounded,Average Annual ROI,Vehicle Value,Annual Loan Cost,Average Annual Earnings Rounded,Vehicle Value Rounded,Loan Cost Rounded,Concat
Anchorage,Anchorage$10K to $25K,BMW X1,,3.0816,,,19328.56,21372,4735.58,AnchorageBMW X1
Honolulu,Honolulu$10K to $25K,Chrysler Voyager,,3.0798,,,20856.29,23071,5112.04,HonoluluChrysler Voyager
Anchorage,Anchorage$10K to $25K,Ford Flex,,3.0018,,,20138.01,22711,5032.27,AnchorageFord Flex
Anchorage,Anchorage$25K to $40K,MINI Clubman,,2.9943,,,23000.99,25988,5758.38,AnchorageMINI Clubman
Honolulu,Honolulu$10K to $25K,Ford Focus,,2.9898,,,9889.92,11187,2478.8,HonoluluFord Focus
Anchorage,Anchorage$25K to $40K,Hyundai Sonata Hybrid,,2.9742,,,23609.72,26811,5940.74,AnchorageHyundai Sonata Hybrid
Honolulu,Honolulu$10K to $25K,Ford Ecosport,,2.9587,,,13270.7,15129,3352.26,HonoluluFord Ecosport
Anchorage,Anchorage$10K to $25K,Buick Encore,,2.921,,,12577.79,14477,3207.79,AnchorageBuick Encore
Anchorage,Anchorage$10K to $25K,Toyota Yaris,,2.9128,,,12634.73,14573,3229.06,AnchorageToyota Yaris
Honolulu,Honolulu$10K to $25K,Ford Fiesta,,2.8854,,,9890.33,11488,2545.49,HonoluluFord Fiesta
Anchorage,Anchorage$10K to $25K,Kia Optima,,2.8733,,,14379.69,16755,3712.55,AnchorageKia Optima
Anchorage,Anchorage$10K to $25K,Ford Fiesta,,2.8411,,,9777.47,11488,2545.49,AnchorageFord Fiesta
Anchorage,Anchorage$10K to $25K,Chevrolet Malibu,,2.8161,,,15519.49,18354,4066.85,AnchorageChevrolet Malibu
Anchorage,Anchorage$10K to $25K,Hyundai Venue,,2.786,,,15021.19,17906,3967.59,AnchorageHyundai Venue
Anchorage,Anchorage$10K to $25K,Hyundai Ioniq Hybrid,,2.7427,,,16351.28,19717,4368.86,AnchorageHyundai Ioniq Hybrid
Honolulu,Honolulu$10K to $25K,Kia Rio,,2.7277,,,13015.03,15757,3491.41,HonoluluKia Rio
Honolulu,Honolulu$10K to $25K,Hyundai Santa Fe Sport,,2.7013,,,12800.54,15608,3458.4,HonoluluHyundai Santa Fe Sport
Anchorage,Anchorage$10K to $25K,Jeep Renegade,,2.6881,,,14427.56,17655,3911.97,AnchorageJeep Renegade
Anchorage,Anchorage$10K to $25K,Ford Escape,,2.6763,,,14133.81,17351,3844.61,AnchorageFord Escape
Honolulu,Honolulu$10K to $25K,Jeep Cherokee,,2.656,,,15918.33,19650,4354.02,HonoluluJeep Cherokee
Anchorage,Anchorage$10K to $25K,Hyundai Tucson,,2.6505,,,17761.05,21958,4865.42,AnchorageHyundai Tucson
Honolulu,Honolulu$10K to $25K,Hyundai Accent,,2.6465,,,12593.2,15586,3453.52,HonoluluHyundai Accent
Anchorage,Anchorage$10K to $25K,Volkswagen Passat,,2.6178,,,15602.77,19464,4312.8,AnchorageVolkswagen Passat
Anchorage,Anchorage$25K to $40K,Honda Odyssey,,2.5189,,,23346.68,29943,6634.73,AnchorageHonda Odyssey
Anchorage,Anchorage$10K to $25K,Volkswagen Jetta,,2.5041,,,12974.98,16711,3702.8,AnchorageVolkswagen Jetta
Austin,Austin$10K to $25K,Ford Fiesta,,2.4982,,,8904.56,11488,2545.49,AustinFord Fiesta
Honolulu,Honolulu$10K to $25K,Ford Escape,,2.4806,,,13381.54,17351,3844.61,HonoluluFord Escape
Anchorage,Anchorage$10K to $25K,Chevrolet Impala,,2.4765,,,14559,18900,4187.83,AnchorageChevrolet Impala
Anchorage,Anchorage$10K to $25K,Ford Edge,,2.4711,,,15506.24,20161,4467.24,AnchorageFord Edge
Austin,Austin$10K to $25K,Ford Focus,,2.4559,,,8566.52,11187,2478.8,AustinFord Focus
Honolulu,Honolulu$10K to $25K,Toyota Prius C,,2.4525,,,14753.14,19285,4273.14,HonoluluToyota Prius C
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Ford Focus,,2.4508,,,8553.72,11187,2478.8,New York / New Jersey / Long IslandFord Focus
Anchorage,Anchorage$10K to $25K,Ford Fusion,,2.4483,,,13646.19,17860,3957.39,AnchorageFord Fusion
Las Vegas,Las Vegas$10K to $25K,Mitsubishi Mirage G4,,2.4312,,,9549.01,12560,2783.03,Las VegasMitsubishi Mirage G4
Anchorage,Anchorage$40K to $100K,Ford Expedition Max,,2.4178,,,32731.38,43220,9576.62,AnchorageFord Expedition Max
Honolulu,Honolulu$10K to $25K,Mitsubishi Outlander Sport,,2.4048,,,12217.15,16194,3588.24,HonoluluMitsubishi Outlander Sport
Anchorage,Anchorage$10K to $25K,Kia Rio,,2.4011,,,11874.53,15757,3491.41,AnchorageKia Rio
Anchorage,Anchorage$10K to $25K,Nissan Sentra,,2.4007,,,11853.67,15731,3485.65,AnchorageNissan Sentra
Anchorage,Anchorage$10K to $25K,Volkswagen Tiguan,,2.3864,,,17409.77,23202,5141.07,AnchorageVolkswagen Tiguan
Honolulu,Honolulu$10K to $25K,Nissan Kicks,,2.3784,,,13200.47,17634,3907.32,HonoluluNissan Kicks
Anchorage,Anchorage$10K to $25K,Hyundai Santa Fe,,2.3782,,,17513.56,23397,5184.27,AnchorageHyundai Santa Fe
Anchorage,Anchorage$10K to $25K,Subaru Forester,,2.3738,,,17969.17,24037,5326.08,AnchorageSubaru Forester
Honolulu,Honolulu$10K to $25K,Nissan Versa,,2.3584,,,9999.05,13437,2977.35,HonoluluNissan Versa
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Mitsubishi Mirage,,2.3577,,,8804.44,11834,2622.16,San Francisco / Oakland / San JoseMitsubishi Mirage
Honolulu,Honolulu$10K to $25K,Jeep Renegade,,2.3572,,,13133.19,17655,3911.97,HonoluluJeep Renegade
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Ford Ecosport,,2.3547,,,11245.68,15129,3352.26,Washington DC / BaltimoreFord Ecosport
Anchorage,Anchorage$25K to $40K,Volvo Xc90,,2.3535,,,23503.36,31630,7008.53,AnchorageVolvo Xc90
Honolulu,Honolulu$10K to $25K,Chevrolet Trax,,2.3504,,,11129.81,14992,3321.91,HonoluluChevrolet Trax
Honolulu,Honolulu$10K to $25K,Nissan Rogue Sport,,2.3469,,,14019.82,18905,4188.94,HonoluluNissan Rogue Sport
Honolulu,Honolulu$10K to $25K,Dodge Journey,,2.312,,,11899.08,16214,3592.67,HonoluluDodge Journey
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Jaguar Xe,,2.311,,,16714.86,22783,5048.22,San Francisco / Oakland / San JoseJaguar Xe
Anchorage,Anchorage$10K to $25K,GMC Terrain,,2.304,,,15112.74,20643,4574.05,AnchorageGMC Terrain
Orlando,Orlando$10K to $25K,Ford Focus,,2.3016,,,8184.08,11187,2478.8,OrlandoFord Focus
Honolulu,Honolulu$25K to $40K,Subaru Ascent,,2.2958,,,20931.38,28662,6350.88,HonoluluSubaru Ascent
Anchorage,Anchorage$10K to $25K,Mazda Cx-5,,2.2909,,,15738.86,21584,4782.55,AnchorageMazda Cx-5
Anchorage,Anchorage$10K to $25K,Jeep Wrangler Jk Unlimited,,2.2744,,,18115.99,24969,5532.59,AnchorageJeep Wrangler Jk Unlimited
Las Vegas,Las Vegas$10K to $25K,Mitsubishi Mirage,,2.2695,,,8573.27,11834,2622.16,Las VegasMitsubishi Mirage
Anchorage,Anchorage$25K to $40K,Chrysler Pacifica,,2.2691,,,18449.47,25470,5643.61,AnchorageChrysler Pacifica
Anchorage,Anchorage$10K to $25K,Chevrolet Trax,,2.2551,,,10812.99,14992,3321.91,AnchorageChevrolet Trax
Anchorage,Anchorage$10K to $25K,Chevrolet Equinox,,2.254,,,14368.95,19929,4415.84,AnchorageChevrolet Equinox
Anchorage,Anchorage$10K to $25K,Subaru Impreza,,2.2456,,,13450.35,18703,4144.18,AnchorageSubaru Impreza
Honolulu,Honolulu$10K to $25K,Kia Soul,,2.2354,,,12354.89,17234,3818.68,HonoluluKia Soul
Honolulu,Honolulu$10K to $25K,Subaru Forester,,2.2139,,,17117.45,24037,5326.08,HonoluluSubaru Forester
US: Other,US: Other$10K to $25K,Chevrolet Cruze,,2.1918,,,7878.53,11140,2468.38,US: OtherChevrolet Cruze
Anchorage,Anchorage$10K to $25K,Nissan Pathfinder,,2.1879,,,17647.68,24984,5535.92,AnchorageNissan Pathfinder
Anchorage,Anchorage$10K to $25K,Toyota Prius,,2.1837,,,16940.46,24014,5320.99,AnchorageToyota Prius
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Ford Fiesta,,2.1698,,,8068.6,11488,2545.49,Boston / Worcester / LawrenceFord Fiesta
Anchorage,Anchorage$10K to $25K,Mitsubishi Outlander,,2.1667,,,15019.99,21406,4743.11,AnchorageMitsubishi Outlander
Anchorage,Anchorage$10K to $25K,Nissan Rogue,,2.159,,,15252.07,21790,4828.2,AnchorageNissan Rogue
Anchorage,Anchorage$10K to $25K,Hyundai Santa Fe Sport,,2.1529,,,10903.82,15608,3458.4,AnchorageHyundai Santa Fe Sport
Anchorage,Anchorage$10K to $25K,Toyota Corolla,,2.1524,,,13093.45,18745,4153.49,AnchorageToyota Corolla
Anchorage,Anchorage$10K to $25K,BMW X2,,2.1507,,,16757.96,24004,5318.77,AnchorageBMW X2
Anchorage,Anchorage$25K to $40K,GMC Acadia,,2.1445,,,18482.05,26526,5877.59,AnchorageGMC Acadia
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Nissan Versa,,2.1421,,,9355.1,13437,2977.35,Boston / Worcester / LawrenceNissan Versa
Anchorage,Anchorage$10K to $25K,Jeep Compass,,2.1325,,,14095.84,20308,4499.82,AnchorageJeep Compass
Honolulu,Honolulu$10K to $25K,Kia Sedona,,2.1281,,,15374.99,22182,4915.06,HonoluluKia Sedona
Honolulu,Honolulu$10K to $25K,Nissan Versa Note,,2.1162,,,8440.4,12224,2708.58,HonoluluNissan Versa Note
Honolulu,Honolulu$10K to $25K,Buick Encore,,2.1036,,,9955.57,14477,3207.79,HonoluluBuick Encore
Anchorage,Anchorage$10K to $25K,Mazda Cx-30,,2.099,,,15016.71,21869,4845.7,AnchorageMazda Cx-30
Anchorage,Anchorage$10K to $25K,Subaru Outback,,2.0984,,,16307.12,23753,5263.16,AnchorageSubaru Outback
Seattle / Tacoma,Seattle / Tacoma$25K to $40K,Subaru Wrx,,2.0892,,,17975.53,26261,5818.87,Seattle / TacomaSubaru Wrx
Honolulu,Honolulu$10K to $25K,Jeep Wrangler Jk Unlimited,,2.0887,,,17088.55,24969,5532.59,HonoluluJeep Wrangler Jk Unlimited
Anchorage,Anchorage$10K to $25K,Jeep Cherokee,,2.0866,,,13439.23,19650,4354.02,AnchorageJeep Cherokee
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Chevrolet Cruze,,2.0855,,,7616.24,11140,2468.38,Dallas / Fort WorthChevrolet Cruze
Honolulu,Honolulu$10K to $25K,Subaru Crosstrek,,2.0796,,,16074.84,23557,5219.73,HonoluluSubaru Crosstrek
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Chevrolet Cruze,,2.0764,,,7593.77,11140,2468.38,Boston / Worcester / LawrenceChevrolet Cruze
Anchorage,Anchorage$10K to $25K,Kia Sorento,,2.0736,,,16965.69,24911,5519.74,AnchorageKia Sorento
Honolulu,Honolulu$10K to $25K,Subaru Impreza,,2.0726,,,12733.53,18703,4144.18,HonoluluSubaru Impreza
Anchorage,Anchorage$25K to $40K,Buick Enclave,,2.071,,,19135.13,28121,6231.01,AnchorageBuick Enclave
Honolulu,Honolulu$10K to $25K,Honda Fit,,2.0685,,,11313.84,16640,3687.07,HonoluluHonda Fit
Honolulu,Honolulu$10K to $25K,Mazda Mazda3,,2.0668,,,11937.3,17567,3892.47,HonoluluMazda Mazda3
Anchorage,Anchorage$25K to $40K,Lexus Ux,,2.0667,,,19081.01,28080,6221.93,AnchorageLexus Ux
Houston,Houston$10K to $25K,Chevrolet Sonic,,2.0563,,,8191.42,12096,2680.21,HoustonChevrolet Sonic
Phoenix,Phoenix$10K to $25K,FIAT 500,,2.0522,,,8765.49,12961,2871.88,PhoenixFIAT 500
Anchorage,Anchorage$10K to $25K,Chevrolet Spark,,2.0468,,,8079.69,11968,2651.85,AnchorageChevrolet Spark
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Dodge Grand Caravan,,2.0446,,,10947.64,16228,3595.78,Seattle / TacomaDodge Grand Caravan
Honolulu,Honolulu$10K to $25K,Hyundai Kona,,2.0418,,,12847.72,19062,4223.73,HonoluluHyundai Kona
Anchorage,Anchorage$10K to $25K,Nissan Rogue Sport,,2.0371,,,12722.22,18905,4188.94,AnchorageNissan Rogue Sport
Anchorage,Anchorage$10K to $25K,Hyundai Accent,,2.0295,,,10462.35,15586,3453.52,AnchorageHyundai Accent
Honolulu,Honolulu$10K to $25K,Volkswagen Jetta,,2.0197,,,11181.39,16711,3702.8,HonoluluVolkswagen Jetta
Honolulu,Honolulu$10K to $25K,Kia Optima,,2.0192,,,11209.01,16755,3712.55,HonoluluKia Optima
Anchorage,Anchorage$25K to $40K,Hyundai Palisade,,2.019,,,22415.65,33509,7424.88,AnchorageHyundai Palisade
Anchorage,Anchorage$10K to $25K,Honda Hr-V,,2.0152,,,14256.07,21338,4728.04,AnchorageHonda Hr-V
Denver / Boulder,Denver / Boulder$10K to $25K,Dodge Grand Caravan,,2.0149,,,10840.82,16228,3595.78,Denver / BoulderDodge Grand Caravan
Anchorage,Anchorage$10K to $25K,Hyundai Kona,,2.0129,,,12725.54,19062,4223.73,AnchorageHyundai Kona
Anchorage,Anchorage$10K to $25K,Kia Soul,,2.0074,,,11484.45,17234,3818.68,AnchorageKia Soul
Anchorage,Anchorage$10K to $25K,Kia Forte,,2.0061,,,11944.85,17933,3973.57,AnchorageKia Forte
Honolulu,Honolulu$10K to $25K,Kia Sorento,,2.0026,,,16573.68,24911,5519.74,HonoluluKia Sorento
Honolulu,Honolulu$10K to $25K,Cadillac Cts,,1.9972,,,16388.43,24677,5467.89,HonoluluCadillac Cts
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Ford Focus,,1.9954,,,7424.89,11187,2478.8,Boston / Worcester / LawrenceFord Focus
Tampa,Tampa$10K to $25K,Ford Focus,,1.9846,,,7398.19,11187,2478.8,TampaFord Focus
Denver / Boulder,Denver / Boulder$10K to $25K,Jeep Renegade,,1.9761,,,11642.41,17655,3911.97,Denver / BoulderJeep Renegade
Honolulu,Honolulu$10K to $25K,Nissan Sentra,,1.9732,,,10363.71,15731,3485.65,HonoluluNissan Sentra
Anchorage,Anchorage$10K to $25K,Kia Sedona,,1.97,,,14597.73,22182,4915.06,AnchorageKia Sedona
Honolulu,Honolulu$10K to $25K,GMC Terrain,,1.9641,,,13557.98,20643,4574.05,HonoluluGMC Terrain
Denver / Boulder,Denver / Boulder$10K to $25K,Jeep Cherokee,,1.9639,,,12905.01,19650,4354.02,Denver / BoulderJeep Cherokee
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Chevrolet Spark,,1.961,,,7852.21,11968,2651.85,Los Angeles / Riverside / Orange CountyChevrolet Spark
Honolulu,Honolulu$10K to $25K,Subaru Outback,,1.9607,,,15582.71,23753,5263.16,HonoluluSubaru Outback
Honolulu,Honolulu$25K to $40K,Land Rover Range Rover Evoque,,1.96,,,20959.27,31956,7080.76,HonoluluLand Rover Range Rover Evoque
National Average,National Average$10K to $25K,Chevrolet Cruze,,1.9576,,,7300.42,11140,2468.38,National AverageChevrolet Cruze
Phoenix,Phoenix$10K to $25K,Dodge Grand Caravan,,1.9532,,,10618.94,16228,3595.78,PhoenixDodge Grand Caravan
Honolulu,Honolulu$25K to $40K,Ford Bronco Sport,,1.9503,,,19717.23,30161,6683.03,HonoluluFord Bronco Sport
Honolulu,Honolulu$10K to $25K,Hyundai Venue,,1.949,,,11700.45,17906,3967.59,HonoluluHyundai Venue
Anchorage,Anchorage$25K to $40K,Subaru Ascent,,1.9473,,,18718.04,28662,6350.88,AnchorageSubaru Ascent
Anchorage,Anchorage$10K to $25K,Cadillac Xt5,,1.9458,,,16099.38,24665,5465.23,AnchorageCadillac Xt5
Las Vegas,Las Vegas$10K to $25K,Chevrolet Cruze,,1.9425,,,7263.3,11140,2468.38,Las VegasChevrolet Cruze
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Ford Fiesta,,1.9409,,,7486.05,11488,2545.49,San Francisco / Oakland / San JoseFord Fiesta
Houston,Houston$10K to $25K,Ford Fiesta,,1.9387,,,7480.39,11488,2545.49,HoustonFord Fiesta
San Diego,San Diego$10K to $25K,Kia Rio,,1.937,,,10254.23,15757,3491.41,San DiegoKia Rio
Honolulu,Honolulu$10K to $25K,Hyundai Elantra,,1.9332,,,10696.13,16457,3646.52,HonoluluHyundai Elantra
Anchorage,Anchorage$25K to $40K,Hyundai Tucson Hybrid,,1.9329,,,19354.54,29782,6599.05,AnchorageHyundai Tucson Hybrid
San Diego,San Diego$10K to $25K,Dodge Grand Caravan,,1.932,,,10542.94,16228,3595.78,San DiegoDodge Grand Caravan
Anchorage,Anchorage$25K to $40K,Ram 3500,,1.931,,,25438.52,39170,8679.23,AnchorageRam 3500
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Ford Fiesta,,1.925,,,7445.58,11488,2545.49,Seattle / TacomaFord Fiesta
Honolulu,Honolulu$10K to $25K,Nissan Altima,,1.9231,,,12212.77,18856,4178.08,HonoluluNissan Altima
Honolulu,Honolulu$10K to $25K,Mazda Cx-3,,1.9213,,,11465.53,17713,3924.82,HonoluluMazda Cx-3
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Mitsubishi Mirage G4,,1.9212,,,8129.89,12560,2783.03,New York / New Jersey / Long IslandMitsubishi Mirage G4
Honolulu,Honolulu$10K to $25K,Nissan Pathfinder,,1.9144,,,16133.99,24984,5535.92,HonoluluNissan Pathfinder
Honolulu,Honolulu$10K to $25K,Chevrolet Equinox,,1.9138,,,12866.99,19929,4415.84,HonoluluChevrolet Equinox
US: Other,US: Other$10K to $25K,FIAT 500,,1.9124,,,8364.12,12961,2871.88,US: OtherFIAT 500
Honolulu,Honolulu$25K to $40K,Mercedes-Benz Metris,,1.9102,,,18934.11,29363,6506.21,HonoluluMercedes-Benz Metris
Anchorage,Anchorage$25K to $40K,Nissan Armada,,1.9098,,,19312.47,29953,6636.94,AnchorageNissan Armada
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Mitsubishi Mirage,,1.9064,,,7620.95,11834,2622.16,Dallas / Fort WorthMitsubishi Mirage
Anchorage,Anchorage$25K to $40K,Ford Maverick,,1.9059,,,19892.35,30894,6845.45,AnchorageFord Maverick
Austin,Austin$10K to $25K,Nissan Versa,,1.9055,,,8650.63,13437,2977.35,AustinNissan Versa
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Kia Rio,,1.9039,,,10138.58,15757,3491.41,Boston / Worcester / LawrenceKia Rio
Honolulu,Honolulu$10K to $25K,Hyundai Veloster,,1.9008,,,10929.53,17004,3767.72,HonoluluHyundai Veloster
Austin,Austin$10K to $25K,Chevrolet Spark,,1.891,,,7666.5,11968,2651.85,AustinChevrolet Spark
Honolulu,Honolulu$10K to $25K,Volkswagen Beetle,,1.886,,,13280.79,20768,4601.74,HonoluluVolkswagen Beetle
US: Other,US: Other$10K to $25K,Ford Focus,,1.8828,,,7145.99,11187,2478.8,US: OtherFord Focus
Austin,Austin$10K to $25K,Mitsubishi Mirage,,1.8824,,,7557.99,11834,2622.16,AustinMitsubishi Mirage
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Mitsubishi Mirage G4,,1.8821,,,8021.02,12560,2783.03,Dallas / Fort WorthMitsubishi Mirage G4
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Nissan Versa,,1.8809,,,8577.54,13437,2977.35,San Francisco / Oakland / San JoseNissan Versa
Honolulu,Honolulu$10K to $25K,Kia Forte,,1.8744,,,11421.71,17933,3973.57,HonoluluKia Forte
Anchorage,Anchorage$25K to $40K,Audi Q3,,1.8697,,,17419.33,27395,6070.14,AnchorageAudi Q3
Austin,Austin$10K to $25K,Buick Encore,,1.8653,,,9191.39,14477,3207.79,AustinBuick Encore
Chicago,Chicago$10K to $25K,Chevrolet Spark,,1.8619,,,7589.42,11968,2651.85,ChicagoChevrolet Spark
Denver / Boulder,Denver / Boulder$25K to $40K,Land Rover Discovery Sport,,1.8553,,,17780.08,28103,6227.02,Denver / BoulderLand Rover Discovery Sport
Honolulu,Honolulu$10K to $25K,BMW X1,,1.8548,,,13519.1,21372,4735.58,HonoluluBMW X1
Anchorage,Anchorage$25K to $40K,Toyota Sienna,,1.851,,,21892.61,34656,7679.03,AnchorageToyota Sienna
Denver / Boulder,Denver / Boulder$10K to $25K,Chevrolet Trax,,1.8484,,,9462.08,14992,3321.91,Denver / BoulderChevrolet Trax
Honolulu,Honolulu$25K to $40K,Mazda Mx-5 Miata,,1.8458,,,16303.52,25855,5728.91,HonoluluMazda Mx-5 Miata
Atlanta,Atlanta$10K to $25K,Ford Fiesta,,1.8427,,,7236.07,11488,2545.49,AtlantaFord Fiesta
Las Vegas,Las Vegas$10K to $25K,Ford Fiesta,,1.8419,,,7234.02,11488,2545.49,Las VegasFord Fiesta
Austin,Austin$10K to $25K,Dodge Grand Caravan,,1.8405,,,10213.64,16228,3595.78,AustinDodge Grand Caravan
Honolulu,Honolulu$10K to $25K,Hyundai Elantra Hybrid,,1.8388,,,15202.12,24168,5355.11,HonoluluHyundai Elantra Hybrid
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Lincoln Mkc,,1.8227,,,12145.65,19419,4302.83,Los Angeles / Riverside / Orange CountyLincoln Mkc
National Average,National Average$10K to $25K,Dodge Grand Caravan,,1.8194,,,10137.87,16228,3595.78,National AverageDodge Grand Caravan
Denver / Boulder,Denver / Boulder$10K to $25K,Buick Encore,,1.8172,,,9036.96,14477,3207.79,Denver / BoulderBuick Encore
Honolulu,Honolulu$10K to $25K,Honda Cr-V,,1.8161,,,15212.58,24380,5402.08,HonoluluHonda Cr-V
Honolulu,Honolulu$10K to $25K,Ford Fusion,,1.8086,,,11114.9,17860,3957.39,HonoluluFord Fusion
Anchorage,Anchorage$25K to $40K,INFINITI Qx80,,1.8057,,,24057.49,38697,8574.42,AnchorageINFINITI Qx80
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Nissan Kicks,,1.8029,,,10951.98,17634,3907.32,Boston / Worcester / LawrenceNissan Kicks
National Average,National Average$10K to $25K,Ford Focus,,1.8027,,,6947.37,11187,2478.8,National AverageFord Focus
Denver / Boulder,Denver / Boulder$10K to $25K,Nissan Murano,,1.8018,,,13004.16,20947,4641.41,Denver / BoulderNissan Murano
Denver / Boulder,Denver / Boulder$10K to $25K,Mitsubishi Outlander Sport,,1.8002,,,10047.92,16194,3588.24,Denver / BoulderMitsubishi Outlander Sport
Anchorage,Anchorage$40K to $100K,GMC Yukon,,1.7994,,,32819.39,52910,11723.72,AnchorageGMC Yukon
Honolulu,Honolulu$10K to $25K,Jeep Compass,,1.7951,,,12577.47,20308,4499.82,HonoluluJeep Compass
Honolulu,Honolulu$10K to $25K,Nissan Murano,,1.7924,,,12960.77,20947,4641.41,HonoluluNissan Murano
Phoenix,Phoenix$10K to $25K,Chevrolet Spark,,1.7897,,,7397.9,11968,2651.85,PhoenixChevrolet Spark
Anchorage,Anchorage$25K to $40K,Kia Telluride,,1.7842,,,21379.01,34655,7678.8,AnchorageKia Telluride
Honolulu,Honolulu$40K to $100K,Ford Expedition Max,,1.7826,,,26648.3,43220,9576.62,HonoluluFord Expedition Max
Anchorage,Anchorage$40K to $100K,Ford Expedition,,1.7816,,,25098.38,40722,9023.12,AnchorageFord Expedition
Anchorage,Anchorage$10K to $25K,Chrysler 300,,1.7794,,,13947.74,22648,5018.31,AnchorageChrysler 300
National Average,National Average$10K to $25K,Ford Fiesta,,1.7779,,,7071.09,11488,2545.49,National AverageFord Fiesta
Phoenix,Phoenix$10K to $25K,Mitsubishi Mirage,,1.7754,,,7277.52,11834,2622.16,PhoenixMitsubishi Mirage
Phoenix,Phoenix$10K to $25K,Mazda Cx-3,,1.7743,,,10888.66,17713,3924.82,PhoenixMazda Cx-3
Las Vegas,Las Vegas$10K to $25K,Dodge Grand Caravan,,1.7742,,,9975.23,16228,3595.78,Las VegasDodge Grand Caravan
Anchorage,Anchorage$40K to $100K,GMC Yukon Xl,,1.7721,,,32675.04,53196,11787.09,AnchorageGMC Yukon Xl
Phoenix,Phoenix$10K to $25K,Buick Encore,,1.7714,,,8889.99,14477,3207.79,PhoenixBuick Encore
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Dodge Journey,,1.7711,,,9955.65,16214,3592.67,Dallas / Fort WorthDodge Journey
Denver / Boulder,Denver / Boulder$10K to $25K,BMW X1,,1.7704,,,13119.48,21372,4735.58,Denver / BoulderBMW X1
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,BMW X2,,1.7699,,,14732.57,24004,5318.77,Seattle / TacomaBMW X2
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Chevrolet Spark,,1.7679,,,7340.03,11968,2651.85,Dallas / Fort WorthChevrolet Spark
